Complaint ID,Complaint Type,Complaint Text,Complaint Status,Complaint Resolution Time,Student ID,Student Program,Student Year,Faculty ID,Faculty Department,Predicted Complaint Type,Predicted Priority,Duplicate Flag,SLA Risk Score,Recommended Action,Anomaly Flag,Explanation
1,Marks Mismatch,My midterm marks seem incorrect in Physics.,Pending,0,STD77951,Electrical Engineering,3rd,FAC81887,Computer Science,,,False,0.0,,False,
2,Missing Grade,My grade for Course X is missing in the portal.,Resolved,3,STD66907,Mechanical Engineering,4th,FAC79904,Mechanical Engineering,,,False,0.0,,False,
3,Marks Mismatch,My midterm marks seem incorrect in Physics.,Pending,0,STD19911,Computer Science,3rd,FAC87366,Business,,,False,0.0,,False,
4,Incorrect Calculation,There appears to be a calculation error in my CGPA.,In Progress,3,STD63446,Computer Science,2nd,FAC63464,Electrical Engineering,,,False,0.0,,False,
5,Absentee Error,I was marked absent for Lab despite attending.,Pending,0,STD66526,Electrical Engineering,3rd,FAC33999,Business,,,False,0.0,,False,
6,Marks Mismatch,My midterm marks seem incorrect in Math.,Pending,0,STD13071,Mechanical Engineering,4th,FAC26983,Electrical Engineering,,,False,0.0,,False,
7,Absentee Error,I was marked absent for Exam despite attending.,In Progress,6,STD73866,Electrical Engineering,2nd,FAC88347,Electrical Engineering,,,False,0.0,,False,
8,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD70083,Electrical Engineering,1st,FAC45632,Business,,,False,0.0,,False,
9,Incorrect Calculation,There appears to be a calculation error in my GPA.,Pending,0,STD26460,Business,3rd,FAC49840,Mechanical Engineering,,,False,0.0,,False,
10,Absentee Error,I was marked absent for Exam despite attending.,In Progress,6,STD33378,Computer Science,1st,FAC31906,Business,,,False,0.0,,False,
11,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,9,STD61609,Electrical Engineering,4th,FAC27968,Electrical Engineering,,,False,0.0,,False,
12,Missing Grade,My grade for Course X is missing in the portal.,Pending,0,STD88723,Business,2nd,FAC32111,Electrical Engineering,,,False,0.0,,False,
13,Incorrect Calculation,There appears to be a calculation error in my GPA.,Pending,0,STD60955,Business,4th,FAC81582,Computer Science,,,False,0.0,,False,
14,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Resolved,12,STD60398,Electrical Engineering,3rd,FAC42299,Mechanical Engineering,,,False,0.0,,False,
15,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,In Progress,6,STD32161,Mechanical Engineering,4th,FAC23834,Computer Science,,,False,0.0,,False,
16,Absentee Error,I was marked absent for Lab despite attending.,Resolved,1,STD39823,Computer Science,2nd,FAC65384,Computer Science,,,False,0.0,,False,
17,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,4,STD25273,Computer Science,4th,FAC63524,Mechanical Engineering,,,False,0.0,,False,
18,Absentee Error,I was marked absent for Exam despite attending.,Pending,0,STD73707,Computer Science,2nd,FAC34611,Business,,,False,0.0,,False,
19,Absentee Error,I was marked absent for Lab despite attending.,In Progress,4,STD61075,Computer Science,1st,FAC40705,Electrical Engineering,,,False,0.0,,False,
20,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,9,STD76647,Mechanical Engineering,2nd,FAC43381,Computer Science,,,False,0.0,,False,
21,Incorrect Calculation,There appears to be a calculation error in my GPA.,Pending,0,STD67036,Computer Science,3rd,FAC88046,Computer Science,,,False,0.0,,False,
22,Missing Grade,My grade for Course X is missing in the portal.,Pending,0,STD21518,Business,3rd,FAC19399,Electrical Engineering,,,False,0.0,,False,
23,Absentee Error,I was marked absent for Exam despite attending.,In Progress,4,STD33983,Electrical Engineering,2nd,FAC73131,Electrical Engineering,,,False,0.0,,False,
24,Missing Grade,My grade for Course X is missing in the portal.,In Progress,3,STD87469,Business,2nd,FAC34564,Mechanical Engineering,,,False,0.0,,False,
25,Missing Grade,My grade for Course Y is missing in the portal.,In Progress,6,STD21896,Electrical Engineering,2nd,FAC26148,Electrical Engineering,,,False,0.0,,False,
26,Marks Mismatch,My final marks seem incorrect in Physics.,Pending,0,STD85766,Computer Science,3rd,FAC87907,Mechanical Engineering,,,False,0.0,,False,
27,Marks Mismatch,My midterm marks seem incorrect in Math.,Pending,0,STD38892,Mechanical Engineering,2nd,FAC39967,Electrical Engineering,,,False,0.0,,False,
28,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,6,STD34035,Computer Science,1st,FAC12458,Electrical Engineering,,,False,0.0,,False,
29,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Pending,0,STD50501,Electrical Engineering,2nd,FAC11422,Mechanical Engineering,,,False,0.0,,False,
30,Marks Mismatch,My midterm marks seem incorrect in Math.,In Progress,5,STD53544,Computer Science,4th,FAC39086,Mechanical Engineering,,,False,0.0,,False,
31,Absentee Error,I was marked absent for Lab despite attending.,Resolved,6,STD30641,Electrical Engineering,3rd,FAC35191,Mechanical Engineering,,,False,0.0,,False,
32,Marks Mismatch,My final marks seem incorrect in Physics.,Pending,0,STD32247,Business,2nd,FAC94489,Mechanical Engineering,,,False,0.0,,False,
33,Incorrect Calculation,There appears to be a calculation error in my CGPA.,Pending,0,STD63607,Computer Science,2nd,FAC99880,Mechanical Engineering,,,False,0.0,,False,
34,Absentee Error,I was marked absent for Lab despite attending.,Pending,0,STD93007,Electrical Engineering,1st,FAC78065,Electrical Engineering,,,False,0.0,,False,
35,Marks Mismatch,My quiz marks seem incorrect in Physics.,In Progress,6,STD96257,Mechanical Engineering,1st,FAC55153,Electrical Engineering,,,False,0.0,,False,
