Complaint ID,Complaint Type,Complaint Text,Complaint Status,Complaint Resolution Time,Student ID,Student Program,Student Year,Faculty ID,Faculty Department,Predicted Complaint Type,Predicted Priority,Duplicate Flag,SLA Risk Score,Recommended Action,Anomaly Flag,Explanation,Resolution Description,Faculty Response Time,Student Satisfaction Score
2,Absentee Error,I was marked absent for Exam despite attending.,Resolved,10,STD46047,Computer Science,4th,FAC73445,Business,,,False,0.0,,False,,Verified attendance records and updated status.,2,2
7,Marks Mismatch,My midterm marks seem incorrect in Physics.,Resolved,3,STD63704,Electrical Engineering,4th,FAC44012,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,1,5
8,Marks Mismatch,My quiz marks seem incorrect in Chemistry.,Resolved,5,STD84895,Electrical Engineering,2nd,FAC62974,Mechanical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,2,2
9,Marks Mismatch,My midterm marks seem incorrect in Math.,Resolved,4,STD36915,Computer Science,1st,FAC89396,Business,,,False,0.0,,False,,Adjusted marks after verification with scanned copies,4,5
10,Missing Grade,My grade for Course Y is missing in the portal.,Resolved,7,STD22140,Business,1st,FAC39325,Business,,,False,0.0,,False,,Added missing grade after consulting with the course instructor.,2,3
15,Absentee Error,I was marked absent for Exam despite attending.,Resolved,8,STD45617,Computer Science,2nd,FAC79657,Electrical Engineering,,,False,0.0,,False,,Verified attendance records and updated status.,4,5
16,Absentee Error,I was marked absent for Lab despite attending.,Resolved,2,STD41006,Electrical Engineering,3rd,FAC70986,Computer Science,,,False,0.0,,False,,Verified attendance records and updated status.,3,1
18,Marks Mismatch,My quiz marks seem incorrect in Physics.,Resolved,3,STD59911,Computer Science,1st,FAC90903,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,1,2
19,Marks Mismatch,My final marks seem incorrect in Chemistry.,Resolved,6,STD91358,Electrical Engineering,2nd,FAC84720,Electrical Engineering,,,False,0.0,,False,,Adjusted marks after verification with attendance records,4,1
20,Marks Mismatch,My final marks seem incorrect in Math.,Resolved,13,STD12518,Electrical Engineering,3rd,FAC39660,Business,,,False,0.0,,False,,Adjusted marks after verification with attendance records,4,5
